woocommerce_sku,product,zoeksuggestie_op_aukerauwerda.nl,ar_url
53743,Vikan medium buizenreiniger,vikan buizenreiniger / pijpenborstel,
42371-01,Vikan vaatwasborstel,vikan afwasborstel / vaatwasborstel,
200901,Steel Paranapine / houten bezemsteel,bezemsteel hout,
53800A1,Vikan spuitpistool,vikan spuitpistool,
31791-01,Vikan zachte veger,vikan veger zacht,
93139,Vikan foam-injector (ergo) met aanzuigslang,vikan foam injector,
10181-01,Vikan ophangsysteem 4 tot 6 producten,vikan ophangsysteem,
70371-01,Vikan harde tankborstel,vikan tankborstel,
77162-01,Vikan condenstrekker 40 cm,vikan condenstrekker,
93012-01,"Vikan ergo Foam Sprayer 2,5 liter",vikan foam sprayer,
36359,Unger Starduster,unger starduster,
90101-01,Zwabber frame met hoes,zwabber frame,
49916,Sneeuwruimer RVS met steel,sneeuwruimer,
